soc_id	pref_name_for_society	region	code_ea	code_eco	title_ea	title_eco
Ad47	Sumbwa	East Tropical Africa	15	0.647520165	Cousin marriages preferred	Precipitation predictability
Ad5	Mbugwe	East Tropical Africa	15	0.700747974	Cousin marriages preferred	Precipitation predictability
Ad50	Kaguru	East Tropical Africa	15	0.700393245	Cousin marriages preferred	Precipitation predictability
Ad51	Ngulu	East Tropical Africa	15	0.708798121	Cousin marriages preferred	Precipitation predictability
Ad6	Nyakyusa	East Tropical Africa	15	0.730610024	Cousin marriages preferred	Precipitation predictability
Ad7	Ganda	East Tropical Africa	15	0.606249416	Cousin marriages preferred	Precipitation predictability
Ad8	Hehe	East Tropical Africa	2	0.738689374	Cousin marriages preferred	Precipitation predictability
Ad9	Gisu	East Tropical Africa	15	0.494514871	Cousin marriages preferred	Precipitation predictability
Ae1	Amba	West-Central Tropical Africa	15	0.701277611	Cousin marriages preferred	Precipitation predictability
Ae10	Banyaruanda	West-Central Tropical Africa	15	0.699533102	Cousin marriages preferred	Precipitation predictability
Ae11	Songola	West-Central Tropical Africa	15	0.660034178	Cousin marriages preferred	Precipitation predictability
Ae13	Bashi	West-Central Tropical Africa	15	0.69090874	Cousin marriages preferred	Precipitation predictability
Ae14	Ha	East Tropical Africa	15	0.625810295	Cousin marriages preferred	Precipitation predictability
Ae17	Rega	West-Central Tropical Africa	15	0.673103424	Cousin marriages preferred	Precipitation predictability
Ae18	Songye	West-Central Tropical Africa	15	0.622135293	Cousin marriages preferred	Precipitation predictability
Ae19	Garanganze	West-Central Tropical Africa	15	0.705703826	Cousin marriages preferred	Precipitation predictability
Ae2	Kpe	West-Central Tropical Africa	15	0.72172259	Cousin marriages preferred	Precipitation predictability
Ae20	Ekonda	West-Central Tropical Africa	15	0.781896635	Cousin marriages preferred	Precipitation predictability
Ae21	Kela	West-Central Tropical Africa	15	0.720888388	Cousin marriages preferred	Precipitation predictability
Ae22	Kutsu	West-Central Tropical Africa	15	0.709456893	Cousin marriages preferred	Precipitation predictability
Ae25	Tetela	West-Central Tropical Africa	15	0.673813799	Cousin marriages preferred	Precipitation predictability
Ae29	Poto	West-Central Tropical Africa	15	0.791869282	Cousin marriages preferred	Precipitation predictability
Ae3	Fang	West-Central Tropical Africa	15	0.793796937	Cousin marriages preferred	Precipitation predictability
Ae39	Ngombe	West-Central Tropical Africa	15	0.79482705	Cousin marriages preferred	Precipitation predictability
Ae4	Nkundo	West-Central Tropical Africa	15	0.786745245	Cousin marriages preferred	Precipitation predictability
Ae41	Kota	West-Central Tropical Africa	15	0.816558567	Cousin marriages preferred	Precipitation predictability
Ae44	Bubi	West-Central Tropical Africa	15	0.707212918	Cousin marriages preferred	Precipitation predictability
Ae47	Puku	West-Central Tropical Africa	15	0.775067718	Cousin marriages preferred	Precipitation predictability
Ae5	Bamileke	West-Central Tropical Africa	15	0.740547038	Cousin marriages preferred	Precipitation predictability
Ae52	Fungom	West Tropical Africa	15	0.661109667	Cousin marriages preferred	Precipitation predictability
Ae53	Koko	West-Central Tropical Africa	15	0.775125494	Cousin marriages preferred	Precipitation predictability
Ae54	Kom	West-Central Tropical Africa	15	0.704446179	Cousin marriages preferred	Precipitation predictability
Ae56	Nsaw	West-Central Tropical Africa	15	0.695421288	Cousin marriages preferred	Precipitation predictability
Ae58	Tikar	West-Central Tropical Africa	15	0.686902059	Cousin marriages preferred	Precipitation predictability
Ae6	Luba	West-Central Tropical Africa	15	0.618437658	Cousin marriages preferred	Precipitation predictability
